DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
3,2,VIX9D,42,GK,3,8.74,5.69,3.73,0.09,1.54,-0.12,-0.92,123
3,2,VIX9D,42,GK,5,7.66,5.69,3.68,0.06,1.35,-0.12,-0.9,125
3,2,VIX9D,42,GK,10,5.41,5.8,3.73,0.14,0.93,-0.14,-0.99,122
3,2,VIX9D,42,GK,21,1.42,6.83,4.03,0.2,0.21,-0.14,-1.19,126
3,2,VIX9D,42,GK,63,-4.07,8.26,6.31,0.28,-0.49,-0.13,-1.41,127
3,2,VIX9D,42,HV,3,4.77,6.51,5.52,0.06,0.73,-0.1,-1.19,114
3,2,VIX9D,42,HV,5,3.02,5.94,3.78,0.13,0.51,-0.12,-1.03,105
3,2,VIX9D,42,HV,10,3.84,5.11,3.67,0.08,0.75,-0.08,-0.68,100
3,2,VIX9D,42,HV,21,4.0,5.01,3.68,0.06,0.8,-0.05,-0.59,89
3,2,VIX9D,42,HV,63,-2.15,5.44,4.07,0.25,-0.4,-0.06,-0.81,80
3,2,VIX9D,42,YZ,3,2.42,5.07,3.7,0.14,0.48,-0.06,-0.64,66
3,2,VIX9D,42,YZ,5,1.07,5.2,3.73,0.12,0.21,-0.09,-0.74,73
3,2,VIX9D,42,YZ,10,0.73,5.0,3.66,0.12,0.15,-0.07,-0.69,84
3,2,VIX9D,42,YZ,21,1.47,5.07,3.72,0.12,0.29,-0.06,-0.63,87
3,2,VIX9D,42,YZ,63,-1.25,4.63,3.29,0.25,-0.27,-0.04,-0.73,71
3,2,VIX9D,63,GK,3,7.77,6.07,4.21,0.1,1.28,-0.14,-0.89,126
3,2,VIX9D,63,GK,5,6.63,6.17,4.24,0.11,1.07,-0.13,-0.94,128
3,2,VIX9D,63,GK,10,3.7,6.25,4.24,0.14,0.59,-0.15,-1.04,123
3,2,VIX9D,63,GK,21,-0.4,7.01,4.58,0.27,-0.06,-0.14,-1.26,130
3,2,VIX9D,63,GK,63,-4.57,7.75,6.51,0.27,-0.59,-0.12,-1.39,131
3,2,VIX9D,63,HV,3,3.57,6.97,6.15,0.09,0.51,-0.11,-1.21,119
3,2,VIX9D,63,HV,5,3.88,6.24,4.22,0.09,0.62,-0.1,-0.96,108
3,2,VIX9D,63,HV,10,3.18,5.71,4.24,0.13,0.56,-0.09,-0.71,103
3,2,VIX9D,63,HV,21,1.71,5.74,4.28,0.14,0.3,-0.08,-0.72,93
3,2,VIX9D,63,HV,63,-2.67,5.15,4.26,0.27,-0.52,-0.03,-0.8,84
3,2,VIX9D,63,YZ,3,1.24,5.77,4.28,0.17,0.22,-0.07,-0.71,71
3,2,VIX9D,63,YZ,5,0.8,5.78,4.21,0.17,0.14,-0.1,-0.77,77
3,2,VIX9D,63,YZ,10,0.39,5.65,4.23,0.13,0.07,-0.07,-0.72,88
3,2,VIX9D,63,YZ,21,-0.07,5.7,4.24,0.12,-0.01,-0.06,-0.73,89
3,2,VIX9D,63,YZ,63,-1.05,4.36,2.97,0.2,-0.24,-0.05,-0.68,73
3,2,VIX9D,84,GK,3,4.56,7.0,4.52,0.15,0.65,-0.17,-1.15,126
3,2,VIX9D,84,GK,5,6.3,6.59,4.56,0.12,0.96,-0.13,-1.0,129
3,2,VIX9D,84,GK,10,1.6,7.08,4.53,0.24,0.23,-0.2,-1.25,125
3,2,VIX9D,84,GK,21,-5.85,9.53,8.1,0.27,-0.61,-0.17,-1.72,129
3,2,VIX9D,84,GK,63,-10.11,11.1,10.27,0.27,-0.91,-0.19,-1.89,131
3,2,VIX9D,84,HV,3,1.36,7.4,6.56,0.08,0.18,-0.19,-1.34,118
3,2,VIX9D,84,HV,5,1.94,6.74,4.5,0.11,0.29,-0.11,-1.09,108
3,2,VIX9D,84,HV,10,2.91,5.97,4.43,0.06,0.49,-0.07,-0.72,106
3,2,VIX9D,84,HV,21,1.19,6.13,4.54,0.14,0.19,-0.06,-0.79,94
3,2,VIX9D,84,HV,63,-6.8,7.77,7.12,0.27,-0.88,-0.04,-1.2,84
3,2,VIX9D,84,YZ,3,1.46,6.13,4.52,0.08,0.24,-0.06,-0.75,70
3,2,VIX9D,84,YZ,5,0.87,6.22,4.54,0.08,0.14,-0.11,-0.81,78
3,2,VIX9D,84,YZ,10,0.74,6.11,4.55,0.06,0.12,-0.09,-0.76,90
3,2,VIX9D,84,YZ,21,0.01,6.19,4.56,0.13,0.0,-0.07,-0.8,91
3,2,VIX9D,84,YZ,63,-3.67,5.91,4.99,0.27,-0.62,-0.06,-0.96,73
3,2,VIX9D,126,GK,3,8.39,5.93,3.97,0.13,1.42,-0.17,-0.93,130
3,2,VIX9D,126,GK,5,7.87,5.95,3.99,0.13,1.32,-0.14,-0.94,131
3,2,VIX9D,126,GK,10,5.09,6.04,3.97,0.22,0.84,-0.26,-1.04,128
3,2,VIX9D,126,GK,21,-0.13,7.56,6.36,0.27,-0.02,-0.23,-1.36,131
3,2,VIX9D,126,GK,63,-5.18,9.02,8.55,0.27,-0.57,-0.28,-1.59,134
3,2,VIX9D,126,HV,3,4.89,6.58,5.86,0.04,0.74,-0.09,-1.16,120
3,2,VIX9D,126,HV,5,4.58,5.99,3.97,0.06,0.76,-0.09,-0.95,113
3,2,VIX9D,126,HV,10,4.26,5.43,3.98,0.13,0.78,-0.08,-0.7,109
3,2,VIX9D,126,HV,21,2.88,5.57,4.02,0.14,0.52,-0.08,-0.75,97
3,2,VIX9D,126,HV,63,-1.53,5.46,4.96,0.27,-0.28,-0.06,-0.9,85
3,2,VIX9D,126,YZ,3,2.61,5.59,3.99,0.04,0.47,-0.06,-0.71,73
3,2,VIX9D,126,YZ,5,2.65,5.64,3.99,0.07,0.47,-0.08,-0.75,82
3,2,VIX9D,126,YZ,10,2.54,5.57,4.03,0.08,0.46,-0.07,-0.72,92
3,2,VIX9D,126,YZ,21,2.31,5.6,4.02,0.13,0.41,-0.08,-0.74,94
3,2,VIX9D,126,YZ,63,-0.15,5.15,4.26,0.27,-0.03,-0.12,-0.85,76
3,2,VIX9D,252,GK,3,8.58,6.19,3.88,0.19,1.39,-0.22,-1.03,129
